../../lib/math/src/math_pkg.vhd ../../lib/util/src/util_pkg.vhd src/lfsr.vhd tb/lfsr_tb.vhd ../../lib/top/src/top.vhd top_arch.vhd
compiling ../../lib/math/src/math_pkg.vhd
compiling ../../lib/util/src/util_pkg.vhd
compiling src/lfsr.vhd
compiling tb/lfsr_tb.vhd
compiling ../../lib/top/src/top.vhd
compiling top_arch.vhd
ghdl elab-run --std=08 -frelaxed --ieee=synopsys -P=vendor_libs lfsr_tb 
tb/lfsr_tb.vhd:73:5:@0ms:(report note): start sim
tb/lfsr_tb.vhd:68:7:@126957ns:(report note): seed: 678, period: 63457
tb/lfsr_tb.vhd:68:7:@253913ns:(report note): seed: 679, period: 63457
tb/lfsr_tb.vhd:68:7:@380869ns:(report note): seed: 680, period: 63457
tb/lfsr_tb.vhd:68:7:@507825ns:(report note): seed: 681, period: 63457
tb/lfsr_tb.vhd:68:7:@634781ns:(report note): seed: 682, period: 63457
tb/lfsr_tb.vhd:68:7:@761737ns:(report note): seed: 683, period: 63457
tb/lfsr_tb.vhd:68:7:@888693ns:(report note): seed: 684, period: 63457
tb/lfsr_tb.vhd:68:7:@1015649ns:(report note): seed: 685, period: 63457
tb/lfsr_tb.vhd:68:7:@1142605ns:(report note): seed: 686, period: 63457
tb/lfsr_tb.vhd:68:7:@1269561ns:(report note): seed: 687, period: 63457
tb/lfsr_tb.vhd:68:7:@1396517ns:(report note): seed: 688, period: 63457
tb/lfsr_tb.vhd:68:7:@1523473ns:(report note): seed: 689, period: 63457
tb/lfsr_tb.vhd:68:7:@1650429ns:(report note): seed: 690, period: 63457
tb/lfsr_tb.vhd:68:7:@1777385ns:(report note): seed: 691, period: 63457
tb/lfsr_tb.vhd:68:7:@1904341ns:(report note): seed: 692, period: 63457
tb/lfsr_tb.vhd:68:7:@2031297ns:(report note): seed: 693, period: 63457
tb/lfsr_tb.vhd:68:7:@2158253ns:(report note): seed: 694, period: 63457
tb/lfsr_tb.vhd:68:7:@2285209ns:(report note): seed: 695, period: 63457
tb/lfsr_tb.vhd:68:7:@2412165ns:(report note): seed: 696, period: 63457
tb/lfsr_tb.vhd:68:7:@2539121ns:(report note): seed: 697, period: 63457
tb/lfsr_tb.vhd:68:7:@2666077ns:(report note): seed: 698, period: 63457
tb/lfsr_tb.vhd:68:7:@2793033ns:(report note): seed: 699, period: 63457
tb/lfsr_tb.vhd:68:7:@2919989ns:(report note): seed: 700, period: 63457
tb/lfsr_tb.vhd:68:7:@3046945ns:(report note): seed: 701, period: 63457
tb/lfsr_tb.vhd:68:7:@3173901ns:(report note): seed: 702, period: 63457
tb/lfsr_tb.vhd:68:7:@3300857ns:(report note): seed: 703, period: 63457
tb/lfsr_tb.vhd:68:7:@3427813ns:(report note): seed: 704, period: 63457
tb/lfsr_tb.vhd:68:7:@3554769ns:(report note): seed: 705, period: 63457
tb/lfsr_tb.vhd:68:7:@3681725ns:(report note): seed: 706, period: 63457
tb/lfsr_tb.vhd:68:7:@3808681ns:(report note): seed: 707, period: 63457
tb/lfsr_tb.vhd:68:7:@3935637ns:(report note): seed: 708, period: 63457
tb/lfsr_tb.vhd:68:7:@4062593ns:(report note): seed: 709, period: 63457
tb/lfsr_tb.vhd:68:7:@4189549ns:(report note): seed: 710, period: 63457
tb/lfsr_tb.vhd:68:7:@4316505ns:(report note): seed: 711, period: 63457
tb/lfsr_tb.vhd:68:7:@4443461ns:(report note): seed: 712, period: 63457
tb/lfsr_tb.vhd:68:7:@4570417ns:(report note): seed: 713, period: 63457
tb/lfsr_tb.vhd:68:7:@4697373ns:(report note): seed: 714, period: 63457
tb/lfsr_tb.vhd:68:7:@4824329ns:(report note): seed: 715, period: 63457
tb/lfsr_tb.vhd:68:7:@4828465ns:(report note): seed: 716, period: 2047
tb/lfsr_tb.vhd:68:7:@4955421ns:(report note): seed: 717, period: 63457
tb/lfsr_tb.vhd:68:7:@5082377ns:(report note): seed: 718, period: 63457
tb/lfsr_tb.vhd:68:7:@5209333ns:(report note): seed: 719, period: 63457
tb/lfsr_tb.vhd:68:7:@5336289ns:(report note): seed: 720, period: 63457
tb/lfsr_tb.vhd:68:7:@5463245ns:(report note): seed: 721, period: 63457
tb/lfsr_tb.vhd:68:7:@5590201ns:(report note): seed: 722, period: 63457
tb/lfsr_tb.vhd:68:7:@5717157ns:(report note): seed: 723, period: 63457
tb/lfsr_tb.vhd:68:7:@5844113ns:(report note): seed: 724, period: 63457
tb/lfsr_tb.vhd:68:7:@5971069ns:(report note): seed: 725, period: 63457
tb/lfsr_tb.vhd:68:7:@6098025ns:(report note): seed: 726, period: 63457
tb/lfsr_tb.vhd:68:7:@6224981ns:(report note): seed: 727, period: 63457
tb/lfsr_tb.vhd:68:7:@6351937ns:(report note): seed: 728, period: 63457
tb/lfsr_tb.vhd:68:7:@6478893ns:(report note): seed: 729, period: 63457
tb/lfsr_tb.vhd:68:7:@6605849ns:(report note): seed: 730, period: 63457
tb/lfsr_tb.vhd:68:7:@6732805ns:(report note): seed: 731, period: 63457
tb/lfsr_tb.vhd:68:7:@6859761ns:(report note): seed: 732, period: 63457
tb/lfsr_tb.vhd:68:7:@6986717ns:(report note): seed: 733, period: 63457
tb/lfsr_tb.vhd:68:7:@7113673ns:(report note): seed: 734, period: 63457
tb/lfsr_tb.vhd:68:7:@7240629ns:(report note): seed: 735, period: 63457
tb/lfsr_tb.vhd:68:7:@7367585ns:(report note): seed: 736, period: 63457
tb/lfsr_tb.vhd:68:7:@7494541ns:(report note): seed: 737, period: 63457
tb/lfsr_tb.vhd:68:7:@7621497ns:(report note): seed: 738, period: 63457
tb/lfsr_tb.vhd:68:7:@7748453ns:(report note): seed: 739, period: 63457
tb/lfsr_tb.vhd:68:7:@7875409ns:(report note): seed: 740, period: 63457
tb/lfsr_tb.vhd:68:7:@8002365ns:(report note): seed: 741, period: 63457
tb/lfsr_tb.vhd:68:7:@8129321ns:(report note): seed: 742, period: 63457
tb/lfsr_tb.vhd:68:7:@8256277ns:(report note): seed: 743, period: 63457
tb/lfsr_tb.vhd:68:7:@8383233ns:(report note): seed: 744, period: 63457
tb/lfsr_tb.vhd:68:7:@8510189ns:(report note): seed: 745, period: 63457
tb/lfsr_tb.vhd:68:7:@8637145ns:(report note): seed: 746, period: 63457
