../../lib/math/src/math_pkg.vhd ../../lib/util/src/util_pkg.vhd src/lfsr.vhd tb/lfsr_tb.vhd ../../lib/top/src/top.vhd top_arch.vhd
compiling ../../lib/math/src/math_pkg.vhd
compiling ../../lib/util/src/util_pkg.vhd
compiling src/lfsr.vhd
compiling tb/lfsr_tb.vhd
compiling ../../lib/top/src/top.vhd
compiling top_arch.vhd
ghdl elab-run --std=08 -frelaxed --ieee=synopsys -P=vendor_libs lfsr_tb
tb/lfsr_tb.vhd:74:5:@0ms:(report note): start sim
tb/lfsr_tb.vhd:69:7:@237ns:(report note): seed: 13, period: 105
tb/lfsr_tb.vhd:69:7:@473ns:(report note): seed: 14, period: 105
tb/lfsr_tb.vhd:69:7:@709ns:(report note): seed: 15, period: 105
tb/lfsr_tb.vhd:69:7:@945ns:(report note): seed: 16, period: 105
tb/lfsr_tb.vhd:69:7:@1181ns:(report note): seed: 17, period: 105
tb/lfsr_tb.vhd:69:7:@1417ns:(report note): seed: 18, period: 105
tb/lfsr_tb.vhd:69:7:@1653ns:(report note): seed: 19, period: 105
tb/lfsr_tb.vhd:69:7:@1709ns:(report note): seed: 20, period: 15
tb/lfsr_tb.vhd:69:7:@1945ns:(report note): seed: 21, period: 105
tb/lfsr_tb.vhd:69:7:@2181ns:(report note): seed: 22, period: 105
tb/lfsr_tb.vhd:69:7:@2417ns:(report note): seed: 23, period: 105
tb/lfsr_tb.vhd:69:7:@2653ns:(report note): seed: 24, period: 105
tb/lfsr_tb.vhd:69:7:@2889ns:(report note): seed: 25, period: 105
tb/lfsr_tb.vhd:69:7:@2929ns:(report note): seed: 26, period: 7
tb/lfsr_tb.vhd:69:7:@3165ns:(report note): seed: 27, period: 105
tb/lfsr_tb.vhd:69:7:@3401ns:(report note): seed: 28, period: 105
tb/lfsr_tb.vhd:69:7:@3637ns:(report note): seed: 29, period: 105
tb/lfsr_tb.vhd:69:7:@3693ns:(report note): seed: 30, period: 15
tb/lfsr_tb.vhd:69:7:@3929ns:(report note): seed: 31, period: 105
tb/lfsr_tb.vhd:69:7:@4165ns:(report note): seed: 32, period: 105
tb/lfsr_tb.vhd:69:7:@4401ns:(report note): seed: 33, period: 105
tb/lfsr_tb.vhd:69:7:@4637ns:(report note): seed: 34, period: 105
tb/lfsr_tb.vhd:69:7:@4693ns:(report note): seed: 35, period: 15
tb/lfsr_tb.vhd:69:7:@4929ns:(report note): seed: 36, period: 105
tb/lfsr_tb.vhd:69:7:@5165ns:(report note): seed: 37, period: 105
tb/lfsr_tb.vhd:69:7:@5401ns:(report note): seed: 38, period: 105
tb/lfsr_tb.vhd:69:7:@5637ns:(report note): seed: 39, period: 105
tb/lfsr_tb.vhd:69:7:@5873ns:(report note): seed: 40, period: 105
